animal_name,source,text,media_link,wikipedia_link
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,The whale is the closest relative of the hippo,,/wiki/Hippopotamus
honey badger,https://www.animalfactsencyclopedia.com/Honey-badger-facts.html,"The honey badger has such tough skin that most stingers, and many fangs can't penetrate",,/wiki/Honey_badger
honey badger,https://www.animalfactsencyclopedia.com/Honey-badger-facts.html,The honey badger is widely recognized as the most fearless- and fiercest - animal in the world.,,/wiki/Honey_badger
honey badger,https://www.animalfactsencyclopedia.com/Honey-badger-facts.html,"The honey badger can survive a bite from a King cobra, and then eat the snake.",,/wiki/Honey_badger
honey badger,https://www.animalfactsencyclopedia.com/Honey-badger-facts.html,"The word ""badger"" comes from the French word ""becheur"" which means ""digger""",,/wiki/Honey_badger
honey badger,https://www.animalfactsencyclopedia.com/Honey-badger-facts.html,Honey badgers are active day and night and are always hunting,,/wiki/Honey_badger
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,The horse family includes zebras and donkeys,,/wiki/Horse
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,Their next closest relatives are rhinos and tapirs,,/wiki/Horse
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,"In the year 1900 approximately 130,000 horses were working in Manhattan",,/wiki/Horse
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,During the war in Afghanistan U.S. special forces road horses to get through the difficult terrain,,/wiki/Horse
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,"Horses have a group of special ligaments called the ""stay apparatus"" that allow them to sleep standing up",,/wiki/Horse
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,"Horses were domesticated about 6,000 years ago",,/wiki/Horse
horse,https://www.animalfactsencyclopedia.com/Horse-facts.html,"A pony is a small horse, a foal is a baby horse, a colt is a male baby horse and a filly is a female baby horse",,/wiki/Horse
hyena,https://www.animalfactsencyclopedia.com/Hyena-facts.html,The male hyenas baby-sit,,/wiki/Hyena
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,The jaguar is the only big cat that is native to the New World..,,/wiki/Jaguar
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,The jaguar is the third largest cat species in the world behind only the tiger and the lion.,,/wiki/Jaguar
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,Presumably the last wild jaguar in the United States was euthanized in 2009,,/wiki/Jaguar
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,Jaguars are the least likely of all the big cats to attack a human being,,/wiki/Jaguar
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,"Black jaguars are called ""black panthers""",,/wiki/Jaguar
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,"Black panthers occur about 6% of the time, and can be in the same litter with normal colored jaguars",,/wiki/Jaguar
jaguar,https://www.animalfactsencyclopedia.com/Jaguar-facts.html,Black panthers have faintly visible spots..,,/wiki/Jaguar
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,The kangaroo is the largest marsupial,,/wiki/Kangaroo
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,Kangaroos are only about the size of a jellybean at birth,,/wiki/Kangaroo
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,The kangaroo is the only large mammal that moves by hopping,,/wiki/Kangaroo
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,Kangaroos can hop up to 30 feet in one jump,,/wiki/Kangaroo
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,Kangaroos can jump up to 10 feet high,,/wiki/Kangaroo
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,Kangaroos hind legs always move together except when they are swimming,,/wiki/Kangaroo
kangaroo,https://www.animalfactsencyclopedia.com/Kangaroo-facts.html,"The mothers pouch is called a ""marsupium"", and is where the word ""marsupial"" comes from.",,/wiki/Kangaroo
