animal_name,source,text,media_link,wikipedia_link
cat,https://www.animalfactsencyclopedia.com/Cat-facts.html,There are about 500 million pet cats in the world,,/wiki/Cat
cat,https://www.animalfactsencyclopedia.com/Cat-facts.html,Cats spend 30% of their waking hours grooming,,/wiki/Cat
cat,https://www.animalfactsencyclopedia.com/Cat-facts.html,Ancient Egyptians shaved their eyebrows when mourning a departed cat,,/wiki/Cat
cheetah,https://www.animalfactsencyclopedia.com/Cheetah-facts.html,The cheetahs claws do not retract,,/wiki/Cheetah
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,"A group of chimps is called a ""community""",,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,The chimpanzee is our closest living relative sharing 98.7% of our DNA,,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,Chimps have opposable thumbs and opposable big toes too,,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,Chimps do not exhibit the huge size difference between genders that is seen in gorillas and orangutans,,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,Baby chimps are born with a white tuft of fur on their rump,,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,The skin on a chimps face and hands is almost pink when they are born and darkens as they mature,,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,"Chimps kiss, hug and hold hands to show affection",,/wiki/Chimpanzee
chimp,https://www.animalfactsencyclopedia.com/Chimp-facts.html,Chimpanzees are one of the nosiest mammals on Earth.- Chimp Facts!,,/wiki/Chimpanzee
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,Chinchilla fur has 60 to 80 hairs per hair follicle,,/wiki/Chinchilla
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,The chinchilla can leap a crevice 6 feet wide,,/wiki/Chinchilla
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,Chinchillas take dust baths in volcanic ash,,/wiki/Chinchilla
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,"Chinchillas are one of the longest lived rodents, sometimes living over 20 years",,/wiki/Chinchilla
chinchilla,https://www.animalfactsencyclopedia.com/Chinchilla-facts.html,It takes about 100 chinchillas to make 1 fur coat,,/wiki/Chinchilla
